name,age,city,state,place,date_elim,twitter_handle
"Rebecca ""Becca"" Kufrin",27,Prior Lake,Minnesota,1,6-Mar-18,thebkoof
Lauren Burnham,25,Virginia Beach, Virginia,2,5-Mar-18,laurenburnham91
Kendall Long,26,Santa Clarita,California,3,26-Feb-18,KendallPatrice
Tia Booth,26,Weiner,"Arkansas	",4,19-Feb-18,tiarachel91
"Rebekah ""Bekah"" Martinez",22,Fresno,"California	",5,12-Feb-18,whats_ur_sign_
Seinne Fleming,27,Long Beach,California,6,12-Feb-18,seinnefleming
Jacqueline Trumbull,26,"Morgantown,",West Virginia,7,12-Feb-18,trumbullina
Chelsea Roy,29,South Portland,Maine,8,5-Feb-18,Chelsea_roy_
Jenna Cooper,28,Raleigh,"North Carolina	",9,5-Feb-18,jennaacooperr
Krystal Nielson,30,Missoula,"Montana	",10,5-Feb-18,CoachKrystal__
Ashley Luebke,25,West Palm Beach,Florida,11,29-Jan-18,ashleyluebke
Maquel Cooper,23,American Fork,"Utah	",12,29-Jan-18,maquelx
Marikh Mathias,27,Salt Lake City,"Utah	",13,29-Jan-18,maroosworld
Brittany Taylor,30,Belton,"South Carolina	",14,22-Jan-18,ohhaybtay
Caroline Lunny,26,Holliston,"Massachusetts	",15,22-Jan-18,CarolineLunny
Bibiana Julian,30,Miami,"Florida	",16,15-Jan-18,bibi_julz
Annaliese Puccini,32,San Mateo,"California	",17,15-Jan-18,annaliese_p_
Lauren Schleyer,31,Dallas,"Texas	",18,15-Jan-18,LaurenSchleyer
"Jennifer ""Jenny"" Delaney",25,Northbrook,"Illinois	",19,8-Jan-18,jdelaneydesigns
Lauren Griffin,26,Indianapolis,"Indiana	",20,8-Jan-18,laurenmarguerit
Valerie Biles,26,Nashville,"Tennessee	",21,8-Jan-18,valeriebiles
"Alison ""Ali"" Harrington",27,Lawton,"Oklahoma	",22,1-Jan-18,ali_harrington_
Amber Wilkerson,29,Denver,"Colorado	",23,1-Jan-18,AmberWilk
"Brianna ""Bri"" Amaranthus",25,Grants Pass,"Oregon	",24,1-Jan-18,BriAmaranthus
Brittane Johnson,27,San Diego,"California	",25,1-Jan-18,Britt_doll_
Jessica Carroll,26,Calgary,"Canada	",26,1-Jan-18,JessCarrollTV
Lauren Jarreau,33,New Roads,"Louisiana	",27,1-Jan-18,laurenj225
"D'Nysha ""Nysha"" Norris",30,Anderson,South Carolina,28,1-Jan-18,nyshaxoxo
Olivia Goethals,23,Geneseo," Illinois	",29,1-Jan-18,oliviagoethals4